team1,team2,score1,score2,odd_team1,oddDraw,odd_team2,time,date
England,South Africa,15,16,5.21,30.36,1.1798561151079137,World,21 Oct 2023
Argentina,New Zealand,6,44,9.15,40.71,1.05998800239952,19:00,20 Oct 2023 
France,South Africa,28,29,1.7692307692307692,21.03,2.1399999999999997,19:00,15 Oct 2023 
England,Fiji,30,24,1.3003003003003002,24.75,3.78,15:00,15 Oct 2023 
Ireland,New Zealand,24,28,1.6578947368421053,23.18,2.31,19:00,14 Oct 2023 
Wales,Argentina,17,29,1.4807692307692308,22.95,2.81,15:00,14 Oct 2023 
Fiji,Portugal,23,24,1.04,44.34,10.01,19:00,08 Oct 2023
Tonga,Romania,45,24,1.01,50.62,18.39,15:45,08 Oct 2023
Japan,Argentina,27,39,4.88,31.4,1.2,11:00,08 Oct 2023
Ireland,Scotland,36,14,1.1700680272108843,29.77,5.41,19:00,07 Oct 2023
England,Samoa,18,17,1.03000300030003,46.25,11.11,15:45,07 Oct 2023
Wales,Georgia,43,19,1.0699790062981105,40.4,8.57,13:00,07 Oct 2023
France,Italy,60,7,1.01,48.22,15.9,19:00,06 Oct 2023
New Zealand,Uruguay,73,0,1.01,73.37,45.9,19:00,05 Oct 2023
South Africa,Tonga,49,18,1.01,54.77,32.7,19:00,01 Oct 2023
Australia,Portugal,34,14,1.01,49.21,13.81,15:45,01 Oct 2023
Scotland,Romania,84,0,1.01,56.71,24.05,19:00,30 Sep 2023
Fiji,Georgia,17,12,1.05,38.43,9.92,15:45,30 Sep 2023
Argentina,Chile,59,5,1.01,63.64,21.14,13:00,30 Sep 2023
New Zealand,Italy,96,17,1.01,47.75,14.29,19:00,29 Sep 2023
Japan,Samoa,28,22,2.34,23.19,1.6289308176100628,19:00,28 Sep 2023
Uruguay,Namibia,36,26,1.08,38.04,7.66,15:45,27 Sep 2023
Wales,Australia,40,6,1.847457627118644,21.14,2.02,19:00,24 Sep 2023
Scotland,Tonga,45,17,1.02,44.25,13.01,15:45,24 Sep 2023
South Africa,Ireland,8,13,1.8403361344537816,22.85,2.04,19:00,23 Sep 2023
England,Chile,71,0,1.01,47.37,22.07,15:45,23 Sep 2023
Georgia,Portugal,18,18,1.130039011703511,34.85,6.05,12:00,23 Sep 2023
Argentina,Samoa,19,10,1.1798561151079137,30.85,5.05,15:45,22 Sep 2023
France,Namibia,96,0,1.01,64.64,69.73,19:00,21 Sep 2023
Italy,Uruguay,38,17,1.05998800239952,43.23,8.9,15:45,20 Sep 2023
England,Japan,34,12,1.05998800239952,45.31,9.36,19:00,17 Sep 2023
Australia,Fiji,15,22,1.4901960784313726,24.31,2.7199999999999998,15:45,17 Sep 2023
South Africa,Romania,76,0,1.01,66.59,32.54,13:00,17 Sep 2023
Ireland,Tonga,59,16,1.01,48.8,17.23,19:00,16 Sep 2023
Wales,Portugal,28,8,1.01,47.92,16.0,15:45,16 Sep 2023
Samoa,Chile,43,10,1.01,42.45,15.45,13:00,16 Sep 2023
New Zealand,Namibia,71,3,1.01,68.25,26.68,19:00,15 Sep 2023
