position,country,points
1,South Africa,92.48
2,New Zealand,91.56
3,Ireland,90.57
4,France,87.81
5,England,84.03
6,Scotland,83.43
7,Argentina,82.42
8,Wales,80.64
9,Australia,77.48
10,Fiji,76.38
11,Italy,75.93
12,Japan,74.27
13,Portugal,72.78
14,Georgia,72.68
15,Samoa,72.23
16,Tonga,71.57
17,Uruguay,67.39
18,USA,66.22
19,Spain,64.05
20,Romania,63.28
21,Namibia,60.56
22,Chile,60.49
23,Canada,60.46
24,Hong Kong China,59.80
25,Russia,58.06
26,Brazil,56.35
27,Netherlands,55.84
28,Switzerland,55.72
29,Belgium,54.58
30,Korea,53.46
31,Zimbabwe,52.43
32,Germany,52.32
33,Kenya,51.79
34,Poland,51.54
35,Czechia,50.78
36,Ukraine,49.30
37,Tunisia,48.55
38,Paraguay,48.50
39,Sweden,48.31
40,Philippines,47.80
41,Croatia,47.51
42,Uganda,47.25
43,Colombia,47.21
44,Madagascar,46.89
45,Malta,46.75
46,Sri Lanka,46.73
47,Morocco,46.33
48,Cote D'Ivoire,46.24
49,Mexico,45.82
50,TTO,45.51
51,Lithuania,45.39
52,Malaysia,45.14
53,Cook Islands,45.11
54,Cayman Islands,44.37
55,Singapore,44.05
56,Senegal,43.22
57,Moldova,43.13
58,Guyana,42.86
59,Bulgaria,42.41
60,UAE,41.88
61,Luxembourg,41.44
62,Latvia,41.40
63,Israel,41.24
64,Kazakhstan,41.16
65,Chinese Taipei,39.23
66,Jamaica,39.00
67,Bermuda,38.91
68,Zambia,38.83
69,Nigeria,38.37
70,Hungary,37.46
71,Finland,37.31
72,Slovenia,37.10
73,Serbia,36.57
74,Guam,36.38
75,Peru,36.35
76,Algeria,36.25
77,Botswana,36.21
78,Denmark,36.10
79,Venezuela,35.87
80,Thailand,35.49
81,VIN,34.91
82,China,34.91
83,Barbados,34.72
84,PNG,33.68
85,Ghana,33.27
86,India,33.15
87,Austria,31.82
88,Andorra,31.68
89,Uzbekistan,31.28
90,Burkina Faso,31.05
91,Mauritius,30.56
92,Pakistan,30.13
93,BIH,30.11
94,Laos,30.00
95,Iran,30.00
96,Qatar,30.00
97,Turkey,30.00
98,Nepal,30.00
99,Rwanda,29.78
100,Costa Rica,29.36
101,Niue Island,28.63
102,Bahamas,27.76
103,Burundi,26.16
104,Eswatini,26.04
105,Norway,25.95
106,Solomon Islands,23.97
107,Cameroon,23.12
108,Indonesia,21.95
109,Monaco,17.17
110,Greece,16.55
111,Vanuatu,15.29
112,American Samoa,13.53
